Wind Speed,general diffuse flows,diffuse flows,Month,Year,Day,DayOfWeek,Hour_sin,Hour_cos,Hour_normalized,Minute_normalized,Zone 1 normalized,Temperature normalized,Humidity normalized,Wind Speed normalized
4.903,0.099,0.082,8,2017,1,1,0.0,1.0,0.0,0.0,0.596,0.348,0.798,0.987
4.906,0.059,0.141,8,2017,1,1,0.0,1.0,0.0,0.167,0.58,0.342,0.805,0.987
4.904,0.062,0.156,8,2017,1,1,0.0,1.0,0.0,0.333,0.561,0.337,0.805,0.987
4.904,0.062,0.13,8,2017,1,1,0.0,1.0,0.0,0.5,0.527,0.336,0.803,0.987
4.907,0.073,0.144,8,2017,1,1,0.0,1.0,0.0,0.667,0.513,0.334,0.805,0.988
4.91,0.084,0.104,8,2017,1,1,0.0,1.0,0.0,0.833,0.496,0.329,0.801,0.988
4.903,0.077,0.141,8,2017,1,1,0.259,0.966,0.042,0.0,0.48,0.328,0.782,0.987
4.905,0.066,0.141,8,2017,1,1,0.259,0.966,0.042,0.167,0.469,0.331,0.769,0.987
4.907,0.069,0.115,8,2017,1,1,0.259,0.966,0.042,0.333,0.451,0.33,0.763,0.988
4.905,0.084,0.082,8,2017,1,1,0.259,0.966,0.042,0.5,0.44,0.326,0.759,0.987
4.906,0.077,0.119,8,2017,1,1,0.259,0.966,0.042,0.667,0.428,0.325,0.754,0.987
4.906,0.069,0.104,8,2017,1,1,0.259,0.966,0.042,0.833,0.414,0.327,0.76,0.987
4.902,0.095,0.104,8,2017,1,1,0.5,0.866,0.083,0.0,0.402,0.32,0.76,0.987
4.906,0.077,0.126,8,2017,1,1,0.5,0.866,0.083,0.167,0.388,0.318,0.754,0.987
4.908,0.069,0.096,8,2017,1,1,0.5,0.866,0.083,0.333,0.384,0.321,0.759,0.988
4.903,0.073,0.189,8,2017,1,1,0.5,0.866,0.083,0.5,0.375,0.32,0.771,0.987
4.905,0.069,0.13,8,2017,1,1,0.5,0.866,0.083,0.667,0.378,0.314,0.782,0.987
4.908,0.099,0.093,8,2017,1,1,0.5,0.866,0.083,0.833,0.377,0.306,0.784,0.988
4.905,0.077,0.115,8,2017,1,1,0.707,0.707,0.125,0.0,0.377,0.301,0.782,0.987
4.91,0.095,0.1,8,2017,1,1,0.707,0.707,0.125,0.167,0.378,0.296,0.782,0.988
4.909,0.073,0.133,8,2017,1,1,0.707,0.707,0.125,0.333,0.367,0.301,0.781,0.988
