DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
8/1/2017 0:00,24.82,77.2,4.903,0.099,0.082,38517.20311,26979.09187,31008.90282
8/1/2017 0:10,24.72,77.7,4.906,0.059,0.141,37973.80688,26416.47307,30713.98119
8/1/2017 0:20,24.64,77.7,4.904,0.062,0.156,37308.94562,26192.18585,30178.30721
8/1/2017 0:30,24.62,77.6,4.904,0.062,0.13,36164.61709,25599.15523,29666.70846
8/1/2017 0:40,24.59,77.7,4.907,0.073,0.144,35678.75694,25344.45618,29413.9185
8/1/2017 0:50,24.5,77.4,4.91,0.084,0.104,35103.39623,24637.3812,28956.48903
8/1/2017 1:00,24.48,75.9,4.903,0.077,0.141,34566.3929,23972.12249,28276.36364
8/1/2017 1:10,24.53,74.8,4.905,0.066,0.141,34176.42619,23489.33474,27590.21944
8/1/2017 1:20,24.52,74.3,4.907,0.069,0.115,33594.67259,23208.02534,27186.95925
8/1/2017 1:30,24.44,74,4.905,0.084,0.082,33217.49168,23014.14995,26765.64263
8/1/2017 1:40,24.43,73.6,4.906,0.077,0.119,32814.73918,22485.74446,26223.94984
8/1/2017 1:50,24.46,74.1,4.906,0.069,0.104,32341.66482,22208.23654,25682.25705
8/1/2017 2:00,24.35,74.1,4.902,0.095,0.104,31932.51942,22010.55966,25417.42947
8/1/2017 2:10,24.31,73.6,4.906,0.077,0.126,31459.44506,21748.25766,25080.37618
8/1/2017 2:20,24.37,74,4.908,0.069,0.096,31312.40844,21580.99261,24580.81505
8/1/2017 2:30,24.34,75,4.903,0.073,0.189,31018.33518,21140.02112,24219.68652
8/1/2017 2:40,24.25,75.9,4.905,0.069,0.13,31101.44284,21048.78564,24027.08464
8/1/2017 2:50,24.11,76,4.908,0.099,0.093,31075.87125,20873.91763,23870.59561
8/1/2017 3:00,24.02,75.9,4.905,0.077,0.115,31082.26415,20824.49842,23702.06897
8/1/2017 3:10,23.93,75.9,4.91,0.095,0.1,31114.22863,20588.80676,23304.82759
8/1/2017 3:20,24.03,75.8,4.909,0.073,0.133,30724.26193,20375.92397,23130.28213
8/1/2017 3:30,23.99,75.7,4.904,0.066,0.159,30692.29745,20440.5491,23033.98119
8/1/2017 3:40,23.86,75.7,4.906,0.062,0.13,31216.51498,20687.6452,23286.77116
8/1/2017 3:50,23.99,75.1,4.908,0.08,0.13,31312.40844,20949.9472,23027.96238
8/1/2017 4:00,24.05,74.9,4.906,0.08,0.156,31146.19312,20630.62302,22395.98746
8/1/2017 4:10,24.03,75.4,4.906,0.099,0.111,30973.58491,20239.07075,22185.32915
8/1/2017 4:20,23.92,76,4.907,0.08,0.093,30442.97447,20010.98205,21830.21944
8/1/2017 4:30,23.86,76,4.907,0.073,0.148,30027.43618,19923.54805,21529.279
8/1/2017 4:40,23.93,76,4.908,0.051,0.13,29874.00666,19539.59873,21354.73354
8/1/2017 4:50,23.93,76.7,4.908,0.091,0.111,28659.35627,18954.17107,20746.83386
8/1/2017 5:00,23.9,77.3,4.907,0.091,0.119,27182.59711,17828.93347,19831.97492
8/1/2017 5:10,23.78,77.5,4.911,0.095,0.126,26447.41398,17247.30729,19103.69906
8/1/2017 5:20,23.73,77.7,4.91,0.095,0.144,25769.76693,16924.18163,17809.65517
8/1/2017 5:30,23.84,77.8,4.91,0.062,0.119,25360.62153,16407.18057,17207.77429
8/1/2017 5:40,23.81,78.2,4.91,0.095,0.104,25488.47947,16376.76874,16918.87147
8/1/2017 5:50,23.67,78.2,4.91,0.091,0.133,25846.48169,16407.18057,16768.40125
8/1/2017 6:00,23.55,78.1,4.909,0.113,0.078,25993.51831,16597.25449,16822.57053
8/1/2017 6:10,23.56,77.8,4.911,0.516,0.441,26230.05549,16893.7698,17045.26646
8/1/2017 6:20,23.59,77.9,4.91,1.931,1.386,26549.70033,17068.6378,17219.81191
8/1/2017 6:30,23.56,77.5,4.909,5.539,4.291,26926.88124,17076.24076,17544.82759
8/1/2017 6:40,23.65,76.8,4.91,14.8,11.29,26971.63152,17604.64625,17665.20376
8/1/2017 6:50,23.73,76.9,4.908,29.67,22.78,27265.70477,17741.49947,17677.24138
8/1/2017 7:00,23.83,77.2,4.914,48.55,37.38,28020.06659,18497.99366,18062.44514
8/1/2017 7:10,24.05,77.2,4.911,62.53,47.94,28710.49945,18802.11193,18249.02821
8/1/2017 7:20,24.27,76.8,4.911,72.8,56.09,29081.28746,19338.12038,18658.30721
8/1/2017 7:30,24.33,76.6,4.911,87,69.96,29432.89678,19691.65787,19434.73354
8/1/2017 7:40,24.49,75.5,4.909,69.7,56.38,29893.18535,20068.00422,19892.16301
8/1/2017 7:50,24.68,74.4,4.907,102,80.4,30212.83019,20623.02006,20379.68652
8/1/2017 8:00,24.95,73.3,4.908,98.4,72.8,31171.76471,21303.48469,20782.94671
8/1/2017 8:10,25.12,73.3,4.909,166.9,112.9,32405.59378,21809.08131,21059.81191
8/1/2017 8:20,25.49,73.5,4.91,268.7,132.8,32686.88124,22546.56811,21390.84639
8/1/2017 8:30,25.8,74,4.91,299.8,115.6,33179.1343,22839.28194,21733.9185
8/1/2017 8:40,26.05,74.3,4.91,330,117.9,33645.81576,23356.283,21926.52038
8/1/2017 8:50,26.25,73.7,4.912,349.8,128.8,34291.49834,23816.26188,21908.46395
8/1/2017 9:00,26.31,73.7,4.908,380.6,139.8,34802.93008,23960.71806,22052.91536
8/1/2017 9:10,26.4,73.6,4.909,424.3,138.5,35346.3263,24443.50581,22185.32915
8/1/2017 9:20,26.58,72.9,4.908,428.4,139.4,35985.61598,25028.93347,22317.74295
8/1/2017 9:30,26.6,73.1,4.91,445.1,148.5,36369.18979,25496.51531,22721.00313
8/1/2017 9:40,26.73,72.9,4.908,477.1,142.4,36957.33629,25948.89124,23918.74608
8/1/2017 9:50,26.78,72.3,4.908,539.4,144.6,37590.23307,26104.75185,24219.68652
8/1/2017 10:00,27.03,71.6,4.911,566.2,142.5,38376.55938,26268.21542,24255.79937
8/1/2017 10:10,27.12,70.6,4.907,587.6,141.6,38568.34628,26450.68638,24370.15674
8/1/2017 10:20,27.05,70.6,4.909,615.5,141.7,38913.56271,26963.88596,25044.26332
8/1/2017 10:30,27.16,70.6,4.909,662.1,155.1,39687.10322,27359.2397,25471.59875
8/1/2017 10:40,27.33,69.6,4.909,623,165.8,40243.28524,27477.08553,25597.99373
8/1/2017 10:50,27.36,69.73,4.911,653.1,167.6,40575.71587,27918.05702,26067.46082
8/1/2017 11:00,27.56,69.17,4.908,700,158,40709.9667,28092.92503,26272.10031
8/1/2017 11:10,27.72,68.33,4.909,716,153.6,40837.82464,28256.3886,26500.81505
8/1/2017 11:20,27.91,67.2,4.91,734,157.4,41208.61265,28347.62408,26398.4953
8/1/2017 11:30,27.84,67.5,4.907,747,158.9,41617.75805,28469.27138,26542.94671
8/1/2017 11:40,28.08,67.33,4.911,773,170.9,42020.51054,28670.74974,26898.05643
8/1/2017 11:50,28.49,65.53,4.909,776,172.9,42615.04994,28773.38965,26970.28213
8/1/2017 12:00,28.74,64.17,4.905,787,160.7,42052.47503,28914.04435,27048.52665
8/1/2017 12:10,28.9,64.2,4.907,792,160.9,42205.90455,28780.99261,27271.22257
8/1/2017 12:20,28.7,64.93,4.907,801,161.5,42749.30078,28503.48469,27487.89969
8/1/2017 12:30,28.47,66.7,4.909,810,162.6,42538.33518,28484.4773,27626.33229
8/1/2017 12:40,28.51,66.57,4.908,816,162.1,42512.7636,28587.11721,27602.25705
